source|relation|target
Elektronische und holographische Methoden an organischen Festkörpern|Veranstaltungsart|Seminar
Elektronische und holographische Methoden an organischen Festkörpern|Dozent|Dietrich Haarer
Elektronische und holographische Methoden an organischen Festkörpern|Veranstaltung von|Experimentalphysik
Elliptische Kurven|Vorlesungsnummer|10200
Elliptische Kurven|Veranstaltungsart|Vorlesung & Übung
Elliptische Kurven|Dozent|Michael Stoll
Elliptische Kurven|Veranstaltung von|Lehrstuhl Mathematik II – Computeralgebra
"ENB ""Macromolecular Science"", Modul: Modern Research Topics in Macromolecular Science: Topic: Diffusion in Polymers"|Vorlesungsnummer|14351
"ENB ""Macromolecular Science"", Modul: Modern Research Topics in Macromolecular Science: Topic: Diffusion in Polymers"|Veranstaltungsart|Seminar
"ENB ""Macromolecular Science"", Modul: Modern Research Topics in Macromolecular Science: Topic: Diffusion in Polymers"|Dozent|Werner Köhler
"ENB ""Macromolecular Science"", Modul: Modern Research Topics in Macromolecular Science: Topic: Diffusion in Polymers"|Veranstaltung von|Experimentalphysik IV
"ENB ""Macromolecular Science"", Modul: Modern Research Topics in Macromolecular Science, Topic: Fluorescence Microscopy"|Vorlesungsnummer|14140
"ENB ""Macromolecular Science"", Modul: Modern Research Topics in Macromolecular Science, Topic: Fluorescence Microscopy"|Veranstaltungsart|Vorlesung
"ENB ""Macromolecular Science"", Modul: Modern Research Topics in Macromolecular Science, Topic: Fluorescence Microscopy"|Dozent|Jürgen Köhler
"ENB ""Macromolecular Science"", Modul: Modern Research Topics in Macromolecular Science, Topic: Fluorescence Microscopy"|Veranstaltung von|Lehrstuhl für Spektroskopie weicher Materie
"ENB ""Macromolecular Science"", Modul ""Modern Research Topics"", Topic ""Advanced Laser Techniques: Confocal Raman and Fluorescence Lifetime Imaging (FLIM) Microscopy and Holographic Methods"|Vorlesungsnummer|14354
"ENB ""Macromolecular Science"", Modul ""Modern Research Topics"", Topic ""Advanced Laser Techniques: Confocal Raman and Fluorescence Lifetime Imaging (FLIM) Microscopy and Holographic Methods"|Veranstaltungsart|Vorlesung & Übung
"ENB ""Macromolecular Science"", Modul ""Modern Research Topics"", Topic ""Advanced Laser Techniques: Confocal Raman and Fluorescence Lifetime Imaging (FLIM) Microscopy and Holographic Methods"|Dozent|Lothar Kador
"ENB ""Macromolecular Science"", Modul ""Modern Research Topics"", Topic ""Advanced Laser Techniques: Confocal Raman and Fluorescence Lifetime Imaging (FLIM) Microscopy and Holographic Methods"|Veranstaltung von|Experimentalphysik
ENB MINT-Lehramt PLUS, Modul C1: Research in Groups|Vorlesungsnummer|14356
ENB MINT-Lehramt PLUS, Modul C1: Research in Groups|Veranstaltungsart|Seminar
ENB MINT-Lehramt PLUS, Modul C1: Research in Groups|Dozent|Axel Enders
ENB MINT-Lehramt PLUS, Modul C1: Research in Groups|Veranstaltung von|Experimentalphysik XI
"ENB Modul ""Color Formation in Organic LEDs - A combined chemistry and physics approach"""|Vorlesungsnummer|14353
"ENB Modul ""Color Formation in Organic LEDs - A combined chemistry and physics approach"""|Veranstaltungsart|Seminar
"ENB Modul ""Color Formation in Organic LEDs - A combined chemistry and physics approach"""|Dozent|Annette Köhler
"ENB Modul ""Color Formation in Organic LEDs - A combined chemistry and physics approach"""|Veranstaltung von|Experimentalphysik II
Entwicklung domänenspezifischer Sprachen (INF 325)|Vorlesungsnummer|12217
Entwicklung domänenspezifischer Sprachen (INF 325)|Veranstaltungsart|Vorlesung
Entwicklung domänenspezifischer Sprachen (INF 325)|Dozent|Thomas Buchmann
Entwicklung domänenspezifischer Sprachen (INF 325)|Veranstaltung von|Lehrstuhl Angewandte Informatik I
Erstellung von Materialien zum selbstgesteuerten Lernen im Informatikunterricht|Vorlesungsnummer|00007
Erstellung von Materialien zum selbstgesteuerten Lernen im Informatikunterricht|Veranstaltungsart|Seminar
Erstellung von Materialien zum selbstgesteuerten Lernen im Informatikunterricht|Dozent|Andreas Walter
Erstellung von Materialien zum selbstgesteuerten Lernen im Informatikunterricht|Veranstaltung von|Didaktik der Informatik
Examensseminar Mathematikdidaktik (Gymnasium)|Vorlesungsnummer|00064
Examensseminar Mathematikdidaktik (Gymnasium)|Veranstaltungsart|Seminar
Examensseminar Mathematikdidaktik (Gymnasium)|Dozent|Franziska Zecherle
Examensseminar Mathematikdidaktik (Gymnasium)|Veranstaltung von|Lehrstuhl Mathematik und ihre Didaktik
Examensseminar Mathematikdidaktik (Realschule)|Vorlesungsnummer|00054
Examensseminar Mathematikdidaktik (Realschule)|Veranstaltungsart|Seminar
Examensseminar Mathematikdidaktik (Realschule)|Dozent|Franziska Zecherle
Examensseminar Mathematikdidaktik (Realschule)|Veranstaltung von|Lehrstuhl Mathematik und ihre Didaktik
Experimentalphysik A (Elektrizität und Magnetismus) (EPA2, FW-EPA2, FW-EPG2)|Vorlesungsnummer|14007
Experimentalphysik A (Elektrizität und Magnetismus) (EPA2, FW-EPA2, FW-EPG2)|Veranstaltungsart|Vorlesung
Experimentalphysik A (Elektrizität und Magnetismus) (EPA2, FW-EPA2, FW-EPG2)|Dozent|Thomas Fischer
Experimentalphysik A (Elektrizität und Magnetismus) (EPA2, FW-EPA2, FW-EPG2)|Veranstaltung von|Experimentalphysik X
Experimentalphysik A (Elektrizität und Magnetismus) (EPA2, FW-EPA2, FW-EPG2)|Vorlesungsnummer|14008
Experimentalphysik A (Elektrizität und Magnetismus) (EPA2, FW-EPA2, FW-EPG2)|Veranstaltungsart|Übung
Experimentalphysik A (Elektrizität und Magnetismus) (EPA2, FW-EPA2, FW-EPG2)|Dozent|Thomas Fischer
Experimentalphysik A (Elektrizität und Magnetismus) (EPA2, FW-EPA2, FW-EPG2)|Veranstaltung von|Experimentalphysik X
Experimentalphysik B: (Atome, Kerne und Elementarteilchen) (EPB2, FW-EPB2)|Vorlesungsnummer|14020
Experimentalphysik B: (Atome, Kerne und Elementarteilchen) (EPB2, FW-EPB2)|Veranstaltungsart|Vorlesung
Experimentalphysik B: (Atome, Kerne und Elementarteilchen) (EPB2, FW-EPB2)|Dozent|Jürgen Köhler
Experimentalphysik B: (Atome, Kerne und Elementarteilchen) (EPB2, FW-EPB2)|Veranstaltung von|Lehrstuhl für Spektroskopie weicher Materie
Experimentalphysik B (Nebenfach)|Vorlesungsnummer|14510
Experimentalphysik B (Nebenfach)|Veranstaltungsart|Vorlesung
Experimentalphysik B (Nebenfach)|Dozent|Ingo Rehberg
Experimentalphysik B (Nebenfach)|Veranstaltung von|Experimentalphysik V
Experimentalphysik B (Nebenfach)|Vorlesungsnummer|14511
Experimentalphysik B (Nebenfach)|Veranstaltungsart|Übung
Experimentalphysik B (Nebenfach)|Dozent|Ingo Rehberg
Experimentalphysik B (Nebenfach)|Veranstaltung von|Experimentalphysik V
Experimentalphysik C (Festkörper II) (EPC2, FW-EPC2)|Vorlesungsnummer|14031
Experimentalphysik C (Festkörper II) (EPC2, FW-EPC2)|Veranstaltungsart|Übung
Experimentalphysik C (Festkörper II) (EPC2, FW-EPC2)|Dozent|Annette Köhler
Experimentalphysik C (Festkörper II) (EPC2, FW-EPC2)|Veranstaltung von|Experimentalphysik II
Experimentalphysik C (Festkörper II) (EPC2, FW-EPC2)|Vorlesungsnummer|14030
Experimentalphysik C (Festkörper II) (EPC2, FW-EPC2)|Veranstaltungsart|Vorlesung
Experimentalphysik C (Festkörper II) (EPC2, FW-EPC2)|Dozent|Annette Köhler
Experimentalphysik C (Festkörper II) (EPC2, FW-EPC2)|Veranstaltung von|Experimentalphysik II
Fachdidaktik Physik C2|Vorlesungsnummer|14650
Fachdidaktik Physik C2|Veranstaltungsart|Seminar
Fachdidaktik Physik C2|Dozent|Sigrid Weber
Fachdidaktik Physik C2|Veranstaltung von|Didaktik der Physik
Fachdidaktisches Seminar|Vorlesungsnummer|12440
Fachdidaktisches Seminar|Veranstaltungsart|Seminar
Fachdidaktisches Seminar|Dozent|Christoph Selbmann
Fachdidaktisches Seminar|Veranstaltung von|Didaktik der Informatik
Fachspezifische Multimediakompetenz|Vorlesungsnummer|12117
Fachspezifische Multimediakompetenz|Veranstaltungsart|Praktikum
Fachspezifische Multimediakompetenz|Dozent|Michael Guthe
Fachspezifische Multimediakompetenz|Veranstaltung von|Professur Angewandte Informatik V
Fast Methods for Differential and Integral Equations|Vorlesungsnummer|10235
Fast Methods for Differential and Integral Equations|Veranstaltungsart|Vorlesung & Übung
Fast Methods for Differential and Integral Equations|Dozent|Mario Bebendorf
Fast Methods for Differential and Integral Equations|Veranstaltung von|Lehrstuhl für Wissenschaftliches Rechnen
Ferrofluiddynamik (ND4)|Vorlesungsnummer|14203
Ferrofluiddynamik (ND4)|Veranstaltungsart|Vorlesung
Ferrofluiddynamik (ND4)|Dozent|Reinhard Richter
Ferrofluiddynamik (ND4)|Veranstaltung von|Experimentalphysik V
Formale Grundlagen der Informatik: Diskrete Strukturen|Vorlesungsnummer|12025
Formale Grundlagen der Informatik: Diskrete Strukturen|Veranstaltungsart|Vorlesung
Formale Grundlagen der Informatik: Diskrete Strukturen|Dozent|Fabian Stehn
Formale Grundlagen der Informatik: Diskrete Strukturen|Veranstaltung von|Professur Angewandte Informatik VI
Forschungspraktikum Biologische Physik (AG Kress)|Vorlesungsnummer|15800
Forschungspraktikum Biologische Physik (AG Kress)|Veranstaltungsart|Praktikum
Forschungspraktikum Biologische Physik (AG Kress)|Dozent|Holger Kreß
Forschungspraktikum Biologische Physik (AG Kress)|Veranstaltung von|Experimentalphysik VI
Forschungspraktikum im Eliteprogramm MINT-Lehramt Plus|Vorlesungsnummer|00917
Forschungspraktikum im Eliteprogramm MINT-Lehramt Plus|Veranstaltungsart|Seminar
Forschungspraktikum im Eliteprogramm MINT-Lehramt Plus|Dozent|Volker Ulm
Forschungspraktikum im Eliteprogramm MINT-Lehramt Plus|Veranstaltung von|Lehrstuhl Mathematik und ihre Didaktik
Forschungsseminar Biologische Physik (AG Kress)|Vorlesungsnummer|15801
Forschungsseminar Biologische Physik (AG Kress)|Veranstaltungsart|Seminar
Forschungsseminar Biologische Physik (AG Kress)|Dozent|Holger Kreß
Forschungsseminar Biologische Physik (AG Kress)|Veranstaltung von|Experimentalphysik VI
Forschungsseminar Komplexe Analysis|Vorlesungsnummer|00036
Forschungsseminar Komplexe Analysis|Veranstaltungsart|Seminar
Forschungsseminar Komplexe Analysis|Dozent|Mihai Paun
Forschungsseminar Komplexe Analysis|Veranstaltung von|Lehrstuhl für Mathematik I - Komplexe Analysis - Prof. Dr. Thomas Peternell
Fortgeschrittene Mathematik für Physiker (Master)|Vorlesungsnummer|10803
Fortgeschrittene Mathematik für Physiker (Master)|Veranstaltungsart|Vorlesung & Übung
Fortgeschrittene Mathematik für Physiker (Master)|Dozent|Gerhard Rein
Fortgeschrittene Mathematik für Physiker (Master)|Veranstaltung von|Professur Angewandte Mathematik
Fortgeschrittene Techniken der Linearen Optimierung|Vorlesungsnummer|10313
Fortgeschrittene Techniken der Linearen Optimierung|Veranstaltungsart|Vorlesung & Übung
Fortgeschrittene Techniken der Linearen Optimierung|Dozent|Jörg Rambau
Fortgeschrittene Techniken der Linearen Optimierung|Veranstaltung von|Lehrstuhl Wirtschaftsmathematik
Fortgeschrittenes Physikalisches Rechnen (PBWP6)|Vorlesungsnummer|14054
Fortgeschrittenes Physikalisches Rechnen (PBWP6)|Veranstaltungsart|Vorlesung
Fortgeschrittenes Physikalisches Rechnen (PBWP6)|Dozent|Daniel De Las Heras Diaz-Plaza
Fortgeschrittenes Physikalisches Rechnen (PBWP6)|Veranstaltung von|Theoretische Physik II
Fortgeschrittenes Physikalisches Rechnen (PBWP6)|Vorlesungsnummer|14055
Fortgeschrittenes Physikalisches Rechnen (PBWP6)|Veranstaltungsart|Übung
Fortgeschrittenes Physikalisches Rechnen (PBWP6)|Dozent|Daniel De Las Heras Diaz-Plaza
Fortgeschrittenes Physikalisches Rechnen (PBWP6)|Veranstaltung von|Theoretische Physik II
Foundations of Modelling|Vorlesungsnummer|12150
Foundations of Modelling|Veranstaltungsart|Vorlesung
Foundations of Modelling|Dozent|Bernhard Westfechtel
Foundations of Modelling|Veranstaltung von|Lehrstuhl Angewandte Informatik I
Foundations of Semi-structured Data|Vorlesungsnummer|12220
Foundations of Semi-structured Data|Veranstaltungsart|Vorlesung
Foundations of Semi-structured Data|Dozent|Wim Martens
Foundations of Semi-structured Data|Veranstaltung von|Theoretical Computer Science (AI VII
Foundations of Semi-structured Data|Vorlesungsnummer|12221
Foundations of Semi-structured Data|Veranstaltungsart|Übung
Foundations of Semi-structured Data|Dozent|Wim Martens
Foundations of Semi-structured Data|Veranstaltung von|Theoretical Computer Science (AI VII
Fragestunde Algorithmen und Datenstrukturen I|Vorlesungsnummer|12032
Fragestunde Algorithmen und Datenstrukturen I|Veranstaltungsart|Kurs
Fragestunde Algorithmen und Datenstrukturen I|Dozent|Christian Knauer
Fragestunde Algorithmen und Datenstrukturen I|Veranstaltung von|Professur Angewandte Informatik VI
Fragestunde Formale Grundlagen der Informatik: Diskrete Strukturen|Vorlesungsnummer|12033
Fragestunde Formale Grundlagen der Informatik: Diskrete Strukturen|Veranstaltungsart|Kurs
Fragestunde Formale Grundlagen der Informatik: Diskrete Strukturen|Dozent|Fabian Stehn
Fragestunde Formale Grundlagen der Informatik: Diskrete Strukturen|Veranstaltung von|Professur Angewandte Informatik VI
Fragestunde zu Linearer Algebra|Vorlesungsnummer|00507
Fragestunde zu Linearer Algebra|Veranstaltungsart|Übung
Fragestunde zu Linearer Algebra|Dozent|Edith Geigant
Fragestunde zu Linearer Algebra|Veranstaltung von|Lehrstuhl Mathematik und ihre Didaktik
Fragestunde zu Logik und Modellierung|Vorlesungsnummer|12020
Fragestunde zu Logik und Modellierung|Veranstaltungsart|Kurs
Fragestunde zu Logik und Modellierung|Dozent|Matthias Niewerth
Fragestunde zu Logik und Modellierung|Veranstaltung von|Theoretical Computer Science (AI VII
Fragestunde zum Staatsexamenskurs Algebra (vertieft)|Vorlesungsnummer|10512
Fragestunde zum Staatsexamenskurs Algebra (vertieft)|Veranstaltungsart|Tutorium
Fragestunde zum Staatsexamenskurs Algebra (vertieft)|Dozent|Davide Frapporti
Fragestunde zum Staatsexamenskurs Algebra (vertieft)|Veranstaltung von|Lehrstuhl Mathematik VIII – Algebraische Geometrie
Fragestunde zum Staatsexamenskurs Analysis (vertieft)|Vorlesungsnummer|10514
Fragestunde zum Staatsexamenskurs Analysis (vertieft)|Veranstaltungsart|Tutorium
Fragestunde zum Staatsexamenskurs Analysis (vertieft)|Dozent|Davide Frapporti
Fragestunde zum Staatsexamenskurs Analysis (vertieft)|Veranstaltung von|Lehrstuhl Mathematik VIII – Algebraische Geometrie
Fragestunde zur Theoretischen Informatik I|Vorlesungsnummer|12010
Fragestunde zur Theoretischen Informatik I|Veranstaltungsart|Kurs
Fragestunde zur Theoretischen Informatik I|Dozent|Matthias Niewerth
Fragestunde zur Theoretischen Informatik I|Veranstaltung von|Theoretical Computer Science (AI VII
Funktionentheorie|Vorlesungsnummer|10008
Funktionentheorie|Veranstaltungsart|Vorlesung & Übung
Funktionentheorie|Dozent|Gerhard Rein
Funktionentheorie|Veranstaltung von|Professur Angewandte Mathematik
General relativity|Vorlesungsnummer|14985
General relativity|Veranstaltungsart|Vorlesung & Übung
General relativity|Dozent|Arthur Peeters
General relativity|Veranstaltung von|Theoretische Physik V
Graphen- und Netzwerk-Algorithmen|Vorlesungsnummer|10201
Graphen- und Netzwerk-Algorithmen|Veranstaltungsart|Vorlesung & Übung
Graphen- und Netzwerk-Algorithmen|Dozent|Sascha Kurz
Graphen- und Netzwerk-Algorithmen|Veranstaltung von|Lehrstuhl Wirtschaftsmathematik
"Großes Master Seminar ""Ausgewählte Themen der Theoretischen Informatik"""|Vorlesungsnummer|12321
"Großes Master Seminar ""Ausgewählte Themen der Theoretischen Informatik"""|Veranstaltungsart|Seminar
"Großes Master Seminar ""Ausgewählte Themen der Theoretischen Informatik"""|Dozent|Wim Martens
"Großes Master Seminar ""Ausgewählte Themen der Theoretischen Informatik"""|Veranstaltung von|Theoretical Computer Science (AI VII
Großes Master-Projekt|Vorlesungsnummer|12029
Großes Master-Projekt|Veranstaltungsart|Projekt
Großes Master-Projekt|Dozent|Fabian Stehn
Großes Master-Projekt|Veranstaltung von|Professur Angewandte Informatik VI
Großes Master-Projekt (Entrepreneurial Thinking and Business Design #computerscience)|Vorlesungsnummer|00379
Großes Master-Projekt (Entrepreneurial Thinking and Business Design #computerscience)|Veranstaltungsart|Projekt
Großes Master-Projekt (Entrepreneurial Thinking and Business Design #computerscience)|Dozent|Markus Klar
Großes Master-Projekt (Entrepreneurial Thinking and Business Design #computerscience)|Veranstaltung von|Lehrstuhl für Serious Games
Großes Master-Projekt: Graphische Datenverarbeitung|Vorlesungsnummer|12124
Großes Master-Projekt: Graphische Datenverarbeitung|Veranstaltungsart|Projekt
Großes Master-Projekt: Graphische Datenverarbeitung|Dozent|Michael Guthe
Großes Master-Projekt: Graphische Datenverarbeitung|Veranstaltung von|Professur Angewandte Informatik V
Großes Master-Projekt (INF 352)|Vorlesungsnummer|12317
